benchmark,solver,score
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_54.smt2,Q3B-wrapped-sq,7.18923
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_54.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_54.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.10492
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_58.smt2,Boolector-wrapped-sq,99.0109
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_58.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_58.smt2,Poolector-wrapped-sq,8.65511
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_58.smt2,Q3B-wrapped-sq,0.054024
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_58.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_58.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.236999
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_22.smt2,Boolector-wrapped-sq,332.232
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_22.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_22.smt2,Poolector-wrapped-sq,182.235
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_22.smt2,Q3B-wrapped-sq,4800
