benchmark,solver,score
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc10.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc10.smt2,Bitwuzla,3.61293
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc10.smt2,Yices 2.6.2 for SMTCOMP2020,2.57069
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc10.smt2,MathSAT5,9.54551
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc20.smt2,CVC4-sq-final,308.99
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc20.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc20.smt2,Bitwuzla,57.6363
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc20.smt2,Yices 2.6.2 for SMTCOMP2020,113.902
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc20.smt2,MathSAT5,550.67
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc25.smt2,CVC4-sq-final,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc25.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc25.smt2,Bitwuzla,318.2
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc25.smt2,Yices 2.6.2 for SMTCOMP2020,555.553
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc25.smt2,MathSAT5,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc15.smt2,CVC4-sq-final,67.4316
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc15.smt2,z3-4.8.8,58.9967
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc15.smt2,Bitwuzla,12.38
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc15.smt2,Yices 2.6.2 for SMTCOMP2020,20.6928
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc15.smt2,MathSAT5,102.86
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc25.smt2,CVC4-sq-final,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc25.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc25.smt2,Bitwuzla,211.028
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc25.smt2,Yices 2.6.2 for SMTCOMP2020,422.771
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc25.smt2,MathSAT5,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc30.smt2,CVC4-sq-final,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc30.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc30.smt2,Bitwuzla,555.217
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc30.smt2,Yices 2.6.2 for SMTCOMP2020,916.045
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc30.smt2,MathSAT5,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc10.smt2,CVC4-sq-final,22.9156
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc10.smt2,z3-4.8.8,7.97182
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc10.smt2,Bitwuzla,1.45189
